Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2010-01-04,24.16847229,6.604801178,7.639999866,20.31875229,18.02267265,312.2047729,133.8999939,46.91081238,147.9207764
2010-01-05,24.17627907,6.616219044,7.358571529,20.8765564,17.87706375,310.8299255,134.6900024,46.36685562,150.5359192
2010-01-06,24.02790642,6.510980129,7.617142677,20.90629959,17.97634125,302.9942932,132.25,46.74399948,148.9291382
2010-01-07,23.77802467,6.498944759,7.485714436,21.66490173,18.12526321,295.9407349,130,46.41037369,151.8434753
2010-01-08,23.9420166,6.542150497,7.614285946,21.46409416,18.2179203,299.8859558,133.5200043,46.56993866,148.9719086
2010-01-11,23.63747215,6.484439373,7.604285717,21.41947365,18.3105793,299.4326477,130.3099976,46.5771904,146.6217041
2010-01-12,23.48129082,6.410678864,7.481428623,20.88398743,18.25763321,294.1375122,127.3499985,46.82378387,143.4253235
2010-01-13,23.69993973,6.501104355,7.708571434,21.25585175,18.57808113,292.448822,129.1100006,47.12114716,144.4936066
2010-01-14,24.17627907,6.463451385,7.284285545,21.56078339,18.59824562,293.8236694,127.3499985,47.21545029,144.0321198
2010-01-15,24.09818649,6.355435848,7.278571606,20.88398743,18.64528465,288.9170532,127.1399994,46.82378387,141.1947174
2010-01-19,24.28560257,6.636589527,7.314285755,21.03274155,18.88385773,292.7128296,127.6100006,47.39675903,142.6048431
2010-01-20,23.88734818,6.534435272,7.320000172,20.69061661,18.897295,289.1213074,125.7799988,47.25169754,143.3996735
2010-01-21,23.4344368,6.421480179,7.312857151,20.82448578,18.66880035,290.4014893,126.6200027,46.39586639,137.485611
2010-01-22,22.61450768,6.102982998,7.269999981,20.27412605,18.31599236,273.9780579,121.4300003,45.83741379,131.7167664
2010-01-25,22.89563179,6.267168999,7.018571377,20.57162285,18.37984467,268.9917603,120.3099976,45.8519249,132.4517517
2010-01-26,23.0361824,6.355742931,7.135714054,20.07331848,18.30591393,270.1972351,119.4800034,45.54004288,128.9477539
2010-01-27,23.1689415,6.415616989,7.281428337,20.97323227,18.11102676,270.0378418,122.75,46.01147842,129.4776001
2010-01-28,22.77068329,6.150510311,9.005714417,21.15917015,18.12782669,266.1473999,126.0299988,46.27256775,131.0074768
2010-01-29,22.00541496,5.927377224,8.892857552,21.14429283,17.78845787,263.9805298,125.4100037,45.5908165,127.1017532
2010-02-01,22.18501282,6.009778976,8.718571663,21.51615906,17.92285919,265.5147705,118.8700027,45.75762558,130.870697
2010-02-02,22.22406006,6.044654846,8.83571434,21.41202927,18.29247093,264.5683289,118.1200027,46.41037369,134.1268463
2010-02-03,22.35680771,6.148659229,8.850000381,20.96502113,18.3630352,269.4002075,119.0999985,46.14928436,134.3746948
2010-02-04,21.73991585,5.927071095,8.619999886,20.16039276,18.08414841,262.4064331,115.9400024,45.43125916,128.7768707
2010-02-05,21.88047409,6.032309532,8.691428185,20.42860413,18.13454437,264.6530151,117.3899994,45.43125916,131.7509918
2010-02-08,21.64620018,5.990953445,8.699999809,19.69102669,17.92622185,265.7389526,116.8300018,45.23543167,129.1357727
